,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
34,35,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-06
33,34,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-07
31,32,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-08
30,31,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-09
1644,1645,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,2010-04-10
962,963,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-04-11
960,961,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-04-12
1618,1619,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,2010-04-13
1064,1065,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2010-04-14
1061,1062,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2010-04-15
23,24,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-16
1783,1784,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-04-17
1149,1150,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1100,1100,1100,2010-04-18
304,305,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-19
1556,1557,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,2010-04-20
1546,1547,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,2010-04-21
276,277,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-22
13,14,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-23
258,259,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-24
249,250,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-25
498,499,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-04-26
1203,1204,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-04-27
223,224,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-28
1719,1720,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-04-29
1194,1195,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-04-30
416,417,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-05-01
995,996,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-05-02
1267,1268,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-05-03
986,987,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-05-04
1843,1844,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-05-05
978,979,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-05-06
386,387,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-05-07
1256,1257,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-05-08
635,636,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-09
1820,1821,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-05-10
1073,1074,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2010-05-11
1160,1161,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1100,1100,1100,2010-05-12
1803,1804,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-05-13
601,602,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-14
591,592,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-15
582,583,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-16
105,106,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,2010-05-17
565,566,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-18
501,502,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-25
602,603,Bhatinda,Maur,Wheat,Other,FAQ,1100,1105,1100,2010-06-14
592,593,Bhatinda,Maur,Wheat,Other,FAQ,1100,1140,1100,2010-06-15
469,470,Bhatinda,Maur,Wheat,Other,FAQ,1120,1140,1130,2010-06-29
662,663,Bhatinda,Maur,Wheat,Other,FAQ,1100,1140,1100,2010-07-05
654,655,Bhatinda,Maur,Wheat,Other,FAQ,1100,1130,1100,2010-07-06
32,33,Bhatinda,Bathinda,Wheat,Other,FAQ,1600,1900,1700,2010-09-07
656,657,Bhatinda,Maur,Wheat,Other,FAQ,1300,1500,1400,2010-11-05
206,207,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,2011-01-31
393,394,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-06
387,388,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-07
381,382,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-08
374,375,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-09
369,370,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-10
361,362,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-11
348,349,Bhatinda,Bhucho,Wheat,Other,FAQ,1110,1150,1110,2011-02-13
342,343,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-14
320,321,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,2011-02-17
319,320,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1000,1000,2011-03-17
252,253,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1100,1000,2011-03-24
25,26,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,2011-04-14
336,337,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-04-15
22,23,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,2011-04-16
323,324,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-04-17
788,789,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-04-18
780,781,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-04-19
95,96,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,2011-04-20
284,285,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-04-21
754,755,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-04-22
1522,1523,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-04-23
739,740,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-04-24
67,68,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,2011-04-25
1501,1502,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-04-26
230,231,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-04-27
1487,1488,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-04-28
1,2,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,2011-04-29
0,1,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,2011-04-30
158,159,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1170,1170,1170,2011-05-01
1700,1701,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-02
868,869,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-03
1684,1685,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-04
856,857,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-05
391,392,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-05-06
1664,1665,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-07
836,837,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-08
1652,1653,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-09
126,127,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,2011-05-10
360,361,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-05-11
1625,1626,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-12
118,119,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,2011-05-13
807,808,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-14
1596,1597,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-15
327,328,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-05-16
1576,1577,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-17
100,101,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,2011-05-18
1558,1559,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1120,1120,2011-05-19
767,768,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-20
1538,1539,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-21
1525,1526,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,2011-05-22
742,743,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-23
251,252,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-05-24
241,242,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-05-25
233,234,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,2011-05-26
710,711,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-27
703,704,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-28
691,692,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-30
690,691,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,2011-05-31
155,156,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,900,1100,1050,2011-08-02
430,431,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,2012-04-17
940,941,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1285,1285,1285,2012-04-18
1911,1912,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,2012-04-19
292,293,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,2012-04-20
1761,1762,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,2012-04-21
1898,1899,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,2012-04-22
78,79,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,2012-04-23
256,257,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,2012-04-24
247,248,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,2012-04-25
1123,1124,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1285,1285,1285,2012-04-26
1873,1874,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,2012-04-27
1868,1869,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,2012-04-28
700,701,Bhatinda,Raman,Wheat,Other,FAQ,1285,1285,1285,2012-04-29
40,41,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,2012-04-30
1467,1468,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1285,1285,1285,2012-05-01
1699,1700,Bhatinda,Sangat,Wheat,Other,FAQ,1285,1285,1285,2012-05-02
1369,1370,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1285,1285,1285,2012-05-03
1455,1456,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1285,1285,1285,2012-05-04
661,662,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-05
653,654,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-06
1940,1941,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,2012-05-07
1937,1938,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,2012-05-08
128,129,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,2012-05-09
366,367,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,2012-05-10
1633,1634,Bhatinda,Sangat,Wheat,Other,FAQ,1285,1285,1285,2012-05-11
435,436,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,2012-05-12
609,610,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-13
806,807,Bhatinda,Raman,Wheat,Other,FAQ,1285,1285,1285,2012-05-14
432,433,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,2012-05-15
1786,1787,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,2012-05-16
1236,1237,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1285,1285,1285,2012-05-17
1053,1054,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1285,1285,1285,2012-05-18
553,554,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-19
287,288,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,2012-05-20
1412,1413,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1285,1285,1285,2012-05-21
526,527,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-22
517,518,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-23
733,734,Bhatinda,Raman,Wheat,Other,FAQ,1285,1285,1285,2012-05-24
500,501,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-25
232,233,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,2012-05-26
483,484,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-05-27
1720,1721,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,2012-05-28
885,886,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1285,1285,1285,2012-05-29
1276,1277,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1285,1285,1285,2012-05-30
1710,1711,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,2012-05-31
1381,1382,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1285,1285,1285,2012-06-01
682,683,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-06-02
675,676,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-06-03
669,670,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,2012-06-04
637,638,Bhatinda,Maur,Wheat,Other,FAQ,800,900,850,2012-09-08
109,110,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1280,1280,1280,2012-10-16
559,560,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,2012-10-18
542,543,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,2012-10-20
630,631,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,2012-11-09
560,561,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,2012-11-18
363,364,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,2013-04-11
355,356,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,2013-04-12
434,435,Bhatinda,Goniana,Wheat,Other,FAQ,1350,1350,1350,2013-04-14
595,596,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,2013-04-15
110,111,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,2013-04-16
1426,1427,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1350,1350,1350,2013-04-17
787,788,Bhatinda,Raman,Wheat,Other,FAQ,1350,1350,1350,2013-04-18
934,935,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1350,1350,1350,2013-04-19
1766,1767,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1350,1350,1350,2013-04-20
1543,1544,Bhatinda,Sangat,Wheat,Other,FAQ,1350,1355,1350,2013-04-21
1530,1531,Bhatinda,Sangat,Wheat,Other,FAQ,1350,1355,1350,2013-04-22
